iter	RMSE
0	10678853.8
1	9908455.518
2	9235276.387
3	8639179.397
4	8121737.576
5	7678574.494
6	7299542.446
7	6967391.825
8	6688603.944
9	6443230.725
10	6232741.655
11	6049742.993
12	5902706.277
13	5771115.989
14	5660894.586
15	5572592.799
16	5496005.562
17	5427418.453
18	5364430.249
19	5317414.867
20	5277531.67
21	5244959.036
22	5215282.743
23	5186636.7
24	5162894.781
25	5145063.354
26	5122611.348
27	5107467.067
28	5090794.16
29	5070645.559
30	5058575.589
31	5046823.855
32	5038225.178
33	5028069.639
34	5019229.727
35	5011180.189
36	5006197.281
37	5001827.637
38	4991262.526
39	4986722.552
40	4982246.188
41	4973069.163
42	4968940.169
43	4962785.556
44	4957506.541
45	4953001.877
46	4949047.812
47	4943612.023
48	4937217.096
49	4933667.883
50	4928381.463
51	4925998.416
52	4923246.193
53	4919478.336
54	4917682.936
55	4914633.667
56	4911935.622
57	4906781.681
58	4900256.567
59	4897412.767
60	4894401.584
61	4886780.425
62	4884830.303
63	4880622.283
64	4878318.535
65	4876314.273
66	4872760.605
67	4870319.791
68	4866991.936
69	4858141.126
70	4854727.42
71	4851896.308
72	4847923.643
73	4846913.512
74	4844794.504
75	4842823.276
76	4840927.087
77	4840027.068
78	4835872.892
79	4833463.92
80	4830818.788
81	4829450.677
82	4824916.472
83	4824166.115
84	4819432.87
85	4817871.758
86	4814248.201
87	4812701.198
88	4810660.959
89	4809105.967
90	4808464.454
91	4805682.586
92	4804988.383
93	4803516.532
94	4799900.614
95	4796312.815
96	4793624.428
97	4791378.88
98	4790329.185
99	4788860.58
100	4787891.631
101	4786006.602
102	4783718.65
103	4781982.486
104	4780341.985
105	4777686.797
106	4776322.667
107	4773671.234
108	4772428.088
109	4771028.292
110	4770018.777
111	4767296.357
112	4765769.225
113	4764772.159
114	4763033.113
115	4762317.774
116	4760804.08
117	4759561.565
118	4758636.969
119	4758153.341
120	4756436.965
121	4756105.412
122	4755139.607
123	4753524.891
124	4751904.817
125	4750454.491
126	4748002.053
127	4745708.374
128	4744015.615
129	4743329.243
130	4742552.224
131	4741783.8
132	4741184.159
133	4740392.713
134	4739348.422
135	4738495.349
136	4736995.001
137	4735727.768
138	4734799.097
139	4734509.005
140	4734196.325
141	4731632.547
142	4731261.409
143	4730795.578
144	4729954.055
145	4729409.779
146	4729272.141
147	4729033.589
148	4728367.42
149	4728054.06
150	4726760.934
151	4723837.062
152	4723035.813
153	4721489.911
154	4719437.619
155	4717898.246
156	4717118.41
157	4714277.363
158	4712852.401
159	4712373.422
160	4710074.862
161	4709055.956
162	4706714.707
163	4706401.93
164	4705536.547
165	4703299.875
166	4701516.666
167	4700259.839
168	4699653.15
169	4698399.11
170	4696695.009
171	4696095.745
172	4695199.003
173	4694815.888
174	4693427.945
175	4692652.028
176	4691165.59
177	4690826.302
178	4689270.889
179	4687831.423
180	4685877.551
181	4685174.376
182	4683953.594
183	4683506.167
184	4683025.23
185	4682184.45
186	4681917.54
187	4680681.26
188	4680041.526
189	4678401.772
190	4676932.283
191	4676749.856
192	4675671.171
193	4674493.091
194	4674416.465
195	4673951.861
196	4673432.297
197	4672012.824
198	4669531.292
199	4669303.641
200	4668860.172
201	4668285.882
202	4667952.42
203	4667708.758
204	4666452.138
205	4665289.037
206	4664288.284
207	4663352.986
208	4662698.084
209	4662427.151
210	4660293.978
211	4659433.495
212	4658371.234
213	4658077.166
214	4657367.681
215	4656101.041
216	4655969.377
217	4654640.205
218	4653596.884
219	4652613.059
220	4651641.07
221	4651447.647
222	4650361.867
223	4649410.894
224	4648972.686
225	4647695.488
226	4647569.452
227	4646469.261
228	4645754.646
229	4644513.914
230	4644196.206
231	4643646.734
232	4643094.176
233	4642166.865
234	4641295.535
235	4641216.734
236	4640337.902
237	4640265.225
238	4639776.28
239	4638959.637
240	4638708.986
241	4638235.546
242	4637749.78
243	4637280.847
244	4636521.374
245	4635750.031
246	4635042.263
247	4634025.363
248	4633856.699
249	4633788.417
250	4633089.185
251	4631781.929
252	4631490.706
253	4630991.222
254	4629676.428
255	4629244.462
256	4628535.543
257	4627935.42
258	4627510.994
259	4626934.987
260	4626899.373
261	4624388.702
262	4622978.148
263	4622502.627
264	4622006.087
265	4621484.008
266	4621127.704
267	4619312.091
268	4618935.89
269	4618324.082
270	4618142.585
271	4617999.573
272	4617467.611
273	4616987.851
274	4616746.818
275	4615773.42
276	4615254.606
277	4613780.608
278	4612455.758
279	4612111.935
280	4611818.261
281	4611274.45
282	4610303.965
283	4610168.88
284	4609340.814
285	4608767.818
286	4608053.622
287	4607671.918
288	4607121.127
289	4606927.757
290	4606625.828
291	4605997.945
292	4605824.099
293	4605093.113
294	4604869.391
295	4604437.311
296	4603869.847
297	4603136.957
298	4602254.16
299	4601273.394
