iter	Passed	Remaining
0	147	43968
1	160	23978
2	173	17218
3	186	13787
4	197	11653
5	209	10271
6	223	9338
7	236	8614
8	247	8011
9	259	7516
10	272	7154
11	285	6840
12	295	6534
13	307	6284
14	323	6148
15	337	5985
16	351	5849
17	365	5719
18	377	5581
19	390	5462
20	404	5376
21	418	5293
22	433	5217
23	448	5160
24	463	5102
25	477	5031
26	488	4939
27	518	5032
28	535	5004
29	559	5034
30	584	5070
31	603	5054
32	634	5134
33	655	5126
34	674	5110
35	693	5088
36	710	5050
37	730	5036
38	751	5031
39	771	5017
40	784	4957
41	799	4910
42	812	4857
43	824	4796
44	834	4727
45	847	4680
46	861	4637
47	874	4592
48	886	4538
49	897	4488
50	911	4451
51	924	4406
52	934	4353
53	949	4325
54	965	4300
55	978	4265
56	997	4252
57	1051	4388
58	1093	4468
59	1131	4526
60	1148	4498
61	1163	4467
62	1186	4462
63	1200	4425
64	1214	4391
65	1225	4344
66	1237	4304
67	1247	4255
68	1259	4217
69	1274	4186
70	1286	4148
71	1299	4114
72	1309	4071
73	1321	4034
74	1332	3996
75	1343	3958
76	1356	3928
77	1368	3895
78	1378	3855
79	1391	3827
80	1405	3799
81	1417	3767
82	1426	3730
83	1439	3700
84	1452	3673
85	1463	3641
86	1474	3609
87	1488	3586
88	1500	3558
89	1510	3524
90	1520	3492
91	1534	3468
92	1547	3443
93	1557	3413
94	1570	3389
95	1585	3369
96	1598	3345
97	1609	3318
98	1620	3290
99	1633	3267
100	1646	3243
101	1655	3214
102	1669	3192
103	1683	3173
104	1697	3152
105	1709	3128
106	1720	3102
107	1733	3081
108	1747	3062
109	1760	3041
110	1770	3013
111	1784	2994
112	1798	2977
113	1811	2955
114	1822	2931
115	1833	2907
116	1845	2887
117	1857	2864
118	1867	2840
119	1879	2819
120	1893	2800
121	1902	2775
122	1915	2756
123	1929	2738
124	1942	2719
125	1952	2696
126	1967	2679
127	1980	2661
128	1994	2644
129	2009	2627
130	2022	2608
131	2033	2587
132	2046	2569
133	2058	2549
134	2070	2530
135	2081	2509
136	2095	2492
137	2108	2474
138	2122	2458
139	2132	2437
140	2145	2419
141	2159	2402
142	2168	2381
143	2179	2361
144	2193	2345
145	2205	2326
146	2213	2303
147	2225	2285
148	2239	2269
149	2248	2248
150	2261	2231
151	2275	2215
152	2287	2197
153	2296	2177
154	2309	2160
155	2323	2144
156	2334	2126
157	2345	2107
158	2359	2092
159	2371	2075
160	2384	2058
161	2394	2039
162	2405	2022
163	2419	2006
164	2432	1990
165	2443	1972
166	2457	1957
167	2470	1941
168	2481	1923
169	2491	1905
170	2505	1889
171	2520	1875
172	2533	1859
173	2542	1841
174	2557	1827
175	2572	1812
176	2586	1797
177	2598	1780
178	2609	1763
179	2622	1748
180	2637	1734
181	2650	1718
182	2662	1702
183	2673	1685
184	2684	1669
185	2696	1652
186	2705	1635
187	2718	1619
188	2732	1604
189	2743	1588
190	2756	1573
191	2767	1556
192	2779	1541
193	2789	1524
194	2799	1507
195	2812	1492
196	2821	1475
197	2835	1460
198	2849	1446
199	2859	1429
200	2869	1413
201	2882	1398
202	2893	1382
203	2903	1366
204	2917	1351
205	2929	1336
206	2943	1322
207	2955	1307
208	2967	1292
209	2979	1276
210	2991	1261
211	3001	1246
212	3014	1231
213	3026	1216
214	3035	1200
215	3049	1185
216	3061	1171
217	3075	1156
218	3088	1142
219	3099	1127
220	3112	1112
221	3124	1097
222	3134	1082
223	3147	1067
224	3160	1053
225	3173	1039
226	3182	1023
227	3194	1008
228	3209	995
229	3224	981
230	3234	966
231	3247	951
232	3263	938
233	3275	923
234	3287	909
235	3296	894
236	3309	879
237	3319	864
238	3330	850
239	3343	835
240	3356	821
241	3368	807
242	3379	792
243	3393	778
244	3405	764
245	3418	750
246	3428	735
247	3440	721
248	3452	707
249	3460	692
250	3473	678
251	3486	664
252	3495	649
253	3508	635
254	3521	621
255	3532	607
256	3542	592
257	3555	578
258	3569	565
259	3583	551
260	3591	536
261	3604	522
262	3617	508
263	3626	494
264	3639	480
265	3651	466
266	3659	452
267	3673	438
268	3687	424
269	3700	411
270	3712	397
271	3722	383
272	3735	369
273	3745	355
274	3756	341
275	3769	327
276	3783	314
277	3796	300
278	3806	286
279	3820	272
280	3832	259
281	3844	245
282	3854	231
283	3866	217
284	3879	204
285	3889	190
286	3902	176
287	3916	163
288	3928	149
289	3937	135
290	3950	122
291	3962	108
292	3971	94
293	3986	81
294	3999	67
295	4012	54
296	4023	40
297	4034	27
298	4048	13
299	4061	0
